year;universityId;subjectAreaId;InstitutionalValue;InternationalValue;NationalValue;SingleAuthorshipValue
2018;Cracow University of Technology;Business, Management and Accounting;0.6666667;9.5;11.0;1.0
2019;Cracow University of Technology;Business, Management and Accounting;15.333333;49.6;11.125;0.5
2020;Cracow University of Technology;Business, Management and Accounting;13.0;25.6;5.0;0.0
2021;Cracow University of Technology;Business, Management and Accounting;12.142858;7.8333335;9.25;0.0
2022;Cracow University of Technology;Business, Management and Accounting;3.2857144;1.2222222;1.2;0.0
2023;Cracow University of Technology;Business, Management and Accounting;0.0;0.0;0.0;0.0
2012;University of Białystok;Business, Management and Accounting;0.0;0.0;0.0;0.0
2013;University of Białystok;Business, Management and Accounting;1.0;0.0;5.0;10.0
2014;University of Białystok;Business, Management and Accounting;0.0;0.0;6.0;0.0
2015;University of Białystok;Business, Management and Accounting;3.0;0.0;9.5;4.0
2016;University of Białystok;Business, Management and Accounting;1.0;0.0;11.0;9.333333
2017;University of Białystok;Business, Management and Accounting;0.0;11.0;4.0;8.5
2018;University of Białystok;Business, Management and Accounting;2.0;4.5;8.0;0.0
2019;University of Białystok;Business, Management and Accounting;0.0;15.0;2.75;0.0
2020;University of Białystok;Business, Management and Accounting;0.0;0.0;0.0;0.5
2021;University of Białystok;Business, Management and Accounting;4.0;0.0;3.0;2.0
2022;University of Białystok;Business, Management and Accounting;0.0;0.0;0.0;0.0
2023;University of Białystok;Business, Management and Accounting;0.0;1.0;0.0;0.0
2012;Warsaw University of Technology;Business, Management and Accounting;3.8333333;13.4;6.8;7.3
2013;Warsaw University of Technology;Business, Management and Accounting;10.0;4.75;5.5;25.571428
2014;Warsaw University of Technology;Business, Management and Accounting;22.166666;3.142857;9.666667;20.4
2015;Warsaw University of Technology;Business, Management and Accounting;11.181818;31.333334;9.5;2.5333333
2016;Warsaw University of Technology;Business, Management and Accounting;4.75;123.0;5.0;7.923077
2017;Warsaw University of Technology;Business, Management and Accounting;4.857143;21.428572;37.2;9.428572
2018;Warsaw University of Technology;Business, Management and Accounting;4.75;6.6666665;4.285714;17.571428
2019;Warsaw University of Technology;Business, Management and Accounting;5.0;17.375;5.142857;4.142857
2020;Warsaw University of Technology;Business, Management and Accounting;3.7058823;7.285714;2.4705882;2.1578948
2021;Warsaw University of Technology;Business, Management and Accounting;1.0;4.125;5.5625;1.4545455
2022;Warsaw University of Technology;Business, Management and Accounting;0.25;2.9333334;1.5;0.4
2023;Warsaw University of Technology;Business, Management and Accounting;0.0;2.75;0.5;0.0
2012;Poznan University of Economics and Business;Business, Management and Accounting;7.4;7.0;7.3333335;1.1666666
2013;Poznan University of Economics and Business;Business, Management and Accounting;9.714286;44.5;3.5;2.7894738
2014;Poznan University of Economics and Business;Business, Management and Accounting;0.33333334;5.8;2.25;4.181818
2015;Poznan University of Economics and Business;Business, Management and Accounting;2.9473684;5.111111;15.181818;8.722222
2016;Poznan University of Economics and Business;Business, Management and Accounting;8.333333;9.8;6.181818;7.882353
2017;Poznan University of Economics and Business;Business, Management and Accounting;4.0;8.5;12.625;2.0
2018;Poznan University of Economics and Business;Business, Management and Accounting;5.909091;11.615385;11.416667;3.1538463
2019;Poznan University of Economics and Business;Business, Management and Accounting;4.9473686;4.3333335;6.3636365;3.9230769
2020;Poznan University of Economics and Business;Business, Management and Accounting;2.8095238;5.0833335;5.0;2.851852
2021;Poznan University of Economics and Business;Business, Management and Accounting;3.625;13.137931;5.2105265;1.902439
2022;Poznan University of Economics and Business;Business, Management and Accounting;0.7647059;4.5333333;1.0555556;0.2857143
2023;Poznan University of Economics and Business;Business, Management and Accounting;1.25;1.0833334;0.33333334;0.0
2012;AGH University of Science and Technology;Chemical Engineering;13.684211;25.615385;13.375;9.111111
2013;AGH University of Science and Technology;Chemical Engineering;12.413794;28.733334;26.2;9.0
2014;AGH University of Science and Technology;Chemical Engineering;15.115385;18.846153;12.266666;23.142857
2015;AGH University of Science and Technology;Chemical Engineering;12.378378;25.95122;17.261906;11.333333
2016;AGH University of Science and Technology;Chemical Engineering;10.113636;30.282051;18.734694;5.888889
2017;AGH University of Science and Technology;Chemical Engineering;9.728813;27.837837;16.639345;4.5
2018;AGH University of Science and Technology;Chemical Engineering;6.8644066;22.175;12.913794;6.5
2019;AGH University of Science and Technology;Chemical Engineering;11.418605;17.37931;12.211538;5.6666665
2020;AGH University of Science and Technology;Chemical Engineering;9.619047;10.745455;10.96;16.2
2021;AGH University of Science and Technology;Chemical Engineering;6.212121;11.303572;4.974359;0.94736844
2022;AGH University of Science and Technology;Chemical Engineering;2.0;3.8493152;1.9824561;1.0
2023;AGH University of Science and Technology;Chemical Engineering;1.7692307;0.29032257;0.0;0.33333334
2012;Białystok University of Technology;Chemical Engineering;43.5;0.0;9.0;18.0
2013;Białystok University of Technology;Chemical Engineering;22.333334;0.0;9.5;31.0
2014;Białystok University of Technology;Chemical Engineering;12.333333;4.0;8.666667;11.666667
2015;Białystok University of Technology;Chemical Engineering;13.25;35.666668;4.0;7.3333335
2016;Białystok University of Technology;Chemical Engineering;6.8333335;8.0;17.454546;8.0
2017;Białystok University of Technology;Chemical Engineering;6.0;12.333333;12.142858;4.5
2018;Białystok University of Technology;Chemical Engineering;6.25;5.1666665;11.533334;1.9166666
2019;Białystok University of Technology;Chemical Engineering;2.3333333;10.75;6.181818;0.0
2020;Białystok University of Technology;Chemical Engineering;4.769231;6.0;7.6666665;2.7777777
2021;Białystok University of Technology;Chemical Engineering;1.5714285;3.8888888;3.7272727;1.75
2022;Białystok University of Technology;Chemical Engineering;1.125;1.75;1.3846154;0.0
2023;Białystok University of Technology;Chemical Engineering;0.0;0.4;0.23529412;0.0
2012;Cracow University of Technology;Chemical Engineering;11.620689;25.666666;5.75;4.1666665
2013;Cracow University of Technology;Chemical Engineering;5.6875;17.714285;7.0454545;5.5
2014;Cracow University of Technology;Chemical Engineering;7.75;20.6;16.411764;8.75
2015;Cracow University of Technology;Chemical Engineering;9.821428;29.0;15.769231;16.625
2016;Cracow University of Technology;Chemical Engineering;4.285714;20.0;7.95;7.388889
2017;Cracow University of Technology;Chemical Engineering;10.76;19.357143;14.833333;4.6
2018;Cracow University of Technology;Chemical Engineering;8.821428;17.666666;12.0;4.6923075
2019;Cracow University of Technology;Chemical Engineering;6.9333334;13.333333;10.0;2.1538463
2020;Cracow University of Technology;Chemical Engineering;5.6;16.38889;8.291667;2.3333333
2021;Cracow University of Technology;Chemical Engineering;3.3333333;5.071429;5.714286;2.6666667
2022;Cracow University of Technology;Chemical Engineering;2.0384614;3.6216216;1.4;0.6666667
2023;Cracow University of Technology;Chemical Engineering;0.25;0.75;0.16666667;0.0
2012;University of Białystok;Chemical Engineering;13.5;36.75;0.0;0.0
2013;University of Białystok;Chemical Engineering;22.25;29.4;10.5;6.0
2014;University of Białystok;Chemical Engineering;13.857142;22.0;6.25;0.0
2015;University of Białystok;Chemical Engineering;9.6;29.857143;18.6;0.0
2016;University of Białystok;Chemical Engineering;14.5;42.666668;29.666666;0.0
2017;University of Białystok;Chemical Engineering;12.5;16.285715;44.2;0.0
2018;University of Białystok;Chemical Engineering;0.0;20.818182;29.8;0.0
2019;University of Białystok;Chemical Engineering;31.0;12.888889;13.2;0.0
2020;University of Białystok;Chemical Engineering;8.666667;9.615385;10.0;0.0
2021;University of Białystok;Chemical Engineering;4.571429;6.75;5.142857;0.0
2022;University of Białystok;Chemical Engineering;2.2;1.9333333;1.8181819;0.0
2023;University of Białystok;Chemical Engineering;0.6666667;0.33333334;0.33333334;0.0
2012;Warsaw University of Technology;Chemical Engineering;15.315789;35.774193;18.119047;4.375
2013;Warsaw University of Technology;Chemical Engineering;13.395833;78.333336;15.952381;69.25
2014;Warsaw University of Technology;Chemical Engineering;18.49091;58.030304;11.692307;11.0
2015;Warsaw University of Technology;Chemical Engineering;9.66;33.0;11.6470585;10.181818
2016;Warsaw University of Technology;Chemical Engineering;10.34375;23.918367;13.271187;8.642858
2017;Warsaw University of Technology;Chemical Engineering;9.5;24.9;11.655172;2.9545455
2018;Warsaw University of Technology;Chemical Engineering;5.6883116;17.581396;11.387096;7.769231
2019;Warsaw University of Technology;Chemical Engineering;7.5094337;20.32;9.258823;7.5
2020;Warsaw University of Technology;Chemical Engineering;7.7419353;12.9;8.022988;1.9
2021;Warsaw University of Technology;Chemical Engineering;3.724138;8.280702;4.4324327;4.428571
2022;Warsaw University of Technology;Chemical Engineering;1.7333333;3.5217392;1.7368422;0.90909094
2023;Warsaw University of Technology;Chemical Engineering;0.4;0.15384616;0.10810811;0.0
2012;Poznan University of Economics and Business;Chemical Engineering;None;None;None;None
2013;Poznan University of Economics and Business;Chemical Engineering;1.0;26.0;5.5;0.0
2014;Poznan University of Economics and Business;Chemical Engineering;16.0;0.0;4.25;0.0
2015;Poznan University of Economics and Business;Chemical Engineering;15.0;38.0;39.0;0.0
2016;Poznan University of Economics and Business;Chemical Engineering;0.0;22.0;1.6666666;0.0
2017;Poznan University of Economics and Business;Chemical Engineering;19.0;9.0;39.5;0.0
2018;Poznan University of Economics and Business;Chemical Engineering;32.0;1.0;2.3333333;58.0
2019;Poznan University of Economics and Business;Chemical Engineering;0.0;4.0;16.0;0.0
2020;Poznan University of Economics and Business;Chemical Engineering;4.3333335;2.5;17.5;1.0
2021;Poznan University of Economics and Business;Chemical Engineering;4.0;3.3333333;3.0;0.0
2022;Poznan University of Economics and Business;Chemical Engineering;0.0;1.6666666;2.2857144;0.0
2023;Poznan University of Economics and Business;Chemical Engineering;0.0;0.0;0.0;0.0
2012;AGH University of Science and Technology;Chemistry;13.486486;17.8;14.166667;16.705883
2013;AGH University of Science and Technology;Chemistry;20.25;21.19403;23.338984;7.6
2014;AGH University of Science and Technology;Chemistry;20.041666;21.064516;15.794871;25.076923
2015;AGH University of Science and Technology;Chemistry;14.968254;22.807692;15.845071;8.083333
2016;AGH University of Science and Technology;Chemistry;16.336956;24.036144;14.767676;5.0
2017;AGH University of Science and Technology;Chemistry;9.923913;27.702703;13.949495;6.529412
2018;AGH University of Science and Technology;Chemistry;7.643678;18.126583;12.831776;13.5
2019;AGH University of Science and Technology;Chemistry;10.462365;14.54;10.861111;11.416667
2020;AGH University of Science and Technology;Chemistry;9.66129;11.307693;10.446809;10.428572
2021;AGH University of Science and Technology;Chemistry;6.3968253;9.438775;5.2261906;19.333334
2022;AGH University of Science and Technology;Chemistry;2.1886792;4.547619;2.2613637;4.3333335
2023;AGH University of Science and Technology;Chemistry;0.33333334;0.36;0.4;0.25
2012;Białystok University of Technology;Chemistry;23.666666;0.0;32.0;17.666666
2013;Białystok University of Technology;Chemistry;19.8;13.5;12.0;29.5
2014;Białystok University of Technology;Chemistry;17.5;28.666666;28.0;7.3333335
2015;Białystok University of Technology;Chemistry;31.0;11.0;19.571428;0.0
2016;Białystok University of Technology;Chemistry;10.0;19.5;21.875;0.0
2017;Białystok University of Technology;Chemistry;13.25;18.333334;15.625;0.0
2018;Białystok University of Technology;Chemistry;3.9411764;9.25;8.863636;0.71428573
2019;Białystok University of Technology;Chemistry;12.0;16.0;14.4;9.0
2020;Białystok University of Technology;Chemistry;15.333333;26.1;7.7;4.0
2021;Białystok University of Technology;Chemistry;4.1666665;3.1;5.0;0.0
2022;Białystok University of Technology;Chemistry;0.5;3.4;1.3076923;1.5
2023;Białystok University of Technology;Chemistry;0.75;0.4;0.5;0.0
2012;Cracow University of Technology;Chemistry;18.424242;14.777778;17.0;4.75
2013;Cracow University of Technology;Chemistry;7.5833335;58.714287;8.5;12.333333
2014;Cracow University of Technology;Chemistry;7.7777777;20.375;18.23077;22.166666
2015;Cracow University of Technology;Chemistry;10.535714;30.766666;15.767442;22.727272
2016;Cracow University of Technology;Chemistry;16.576923;17.838709;11.606061;11.2
2017;Cracow University of Technology;Chemistry;12.135135;14.142858;13.32653;5.6153846
2018;Cracow University of Technology;Chemistry;7.4915257;17.944445;9.18868;4.5
2019;Cracow University of Technology;Chemistry;10.025641;15.514286;10.755555;3.25
2020;Cracow University of Technology;Chemistry;10.071428;15.875;13.404762;5.3
2021;Cracow University of Technology;Chemistry;6.3333335;8.388889;5.690909;3.4615386
2022;Cracow University of Technology;Chemistry;3.5;4.0416665;2.195122;1.0
2023;Cracow University of Technology;Chemistry;0.71428573;0.53846157;0.3478261;0.875
2012;University of Białystok;Chemistry;16.4;22.5;29.625;16.333334
2013;University of Białystok;Chemistry;11.0625;29.846153;12.4;11.0
2014;University of Białystok;Chemistry;14.25;18.076923;14.615385;9.25
2015;University of Białystok;Chemistry;13.727273;15.6;15.0;2.0
2016;University of Białystok;Chemistry;8.444445;28.333334;17.0;6.75
2017;University of Białystok;Chemistry;16.5;10.857142;26.583334;0.0
2018;University of Białystok;Chemistry;17.454546;17.25;18.5625;0.0
2019;University of Białystok;Chemistry;7.2941175;10.586206;12.5172415;2.0
2020;University of Białystok;Chemistry;10.0;9.774194;13.210526;10.0
2021;University of Białystok;Chemistry;3.75;5.75;6.0263157;10.0
2022;University of Białystok;Chemistry;1.5;2.2916667;1.4583334;0.0
2023;University of Białystok;Chemistry;3.6666667;0.25;0.2857143;0.0
2012;Warsaw University of Technology;Chemistry;21.40964;40.260273;21.428572;6.142857
2013;Warsaw University of Technology;Chemistry;19.819672;65.12857;16.042253;157.4
2014;Warsaw University of Technology;Chemistry;21.41791;60.9;20.505747;9.0
2015;Warsaw University of Technology;Chemistry;17.316456;32.113403;16.301075;9.5
2016;Warsaw University of Technology;Chemistry;13.164835;20.802326;14.443397;7.625
2017;Warsaw University of Technology;Chemistry;10.161904;15.717391;14.465517;4.5925927
2018;Warsaw University of Technology;Chemistry;6.671756;18.363636;9.92742;5.392857
2019;Warsaw University of Technology;Chemistry;10.084745;18.163265;10.656;7.4117646
2020;Warsaw University of Technology;Chemistry;7.890411;14.329787;8.607693;5.888889
2021;Warsaw University of Technology;Chemistry;4.468354;8.659091;5.0324674;6.6153846
2022;Warsaw University of Technology;Chemistry;1.2469136;3.4563107;1.6423358;0.6666667
2023;Warsaw University of Technology;Chemistry;0.25;0.2;0.24;0.0
2012;Poznan University of Economics and Business;Chemistry;0.0;33.0;41.0;0.0
2013;Poznan University of Economics and Business;Chemistry;1.0;33.0;22.0;0.0
2014;Poznan University of Economics and Business;Chemistry;16.0;0.0;13.75;0.0
2015;Poznan University of Economics and Business;Chemistry;55.25;49.0;19.142857;0.0
2016;Poznan University of Economics and Business;Chemistry;0.0;24.5;33.5;0.0
2017;Poznan University of Economics and Business;Chemistry;48.0;26.333334;43.666668;13.0
2018;Poznan University of Economics and Business;Chemistry;2.5;6.5;7.0;101.0
2019;Poznan University of Economics and Business;Chemistry;36.0;2.5;23.4;0.0
2020;Poznan University of Economics and Business;Chemistry;8.0;6.125;10.0;26.666666
2021;Poznan University of Economics and Business;Chemistry;0.0;5.714286;8.909091;6.0
2022;Poznan University of Economics and Business;Chemistry;2.0;1.2;1.7142857;0.0
2023;Poznan University of Economics and Business;Chemistry;0.0;0.0;0.25;0.0
2012;AGH University of Science and Technology;Computer Science;7.26455;18.976744;7.9310346;7.639344
2013;AGH University of Science and Technology;Computer Science;7.85;11.280702;8.929412;8.625
2014;AGH University of Science and Technology;Computer Science;7.977778;10.489583;14.651786;9.323529
2015;AGH University of Science and Technology;Computer Science;7.0473933;13.945946;9.435898;8.136987
2016;AGH University of Science and Technology;Computer Science;5.752;10.557377;7.366412;6.9491525
2017;AGH University of Science and Technology;Computer Science;6.3454547;11.6;6.6538463;3.96875
2018;AGH University of Science and Technology;Computer Science;5.178218;8.484375;6.7476635;3.6504066
2019;AGH University of Science and Technology;Computer Science;4.6687117;11.014814;4.4298244;6.654321
2020;AGH University of Science and Technology;Computer Science;2.8181818;9.164384;4.732143;2.9733334
2021;AGH University of Science and Technology;Computer Science;2.8092782;4.9691358;3.172131;5.2040815
2022;AGH University of Science and Technology;Computer Science;0.53939396;2.2349727;1.0588236;1.9285715
2023;AGH University of Science and Technology;Computer Science;0.12195122;0.3090909;0.21621622;0.2857143
2012;Białystok University of Technology;Computer Science;5.3157897;17.764706;2.7142856;10.307693
2013;Białystok University of Technology;Computer Science;10.4;14.0;8.111111;13.64
2014;Białystok University of Technology;Computer Science;4.225;9.214286;3.375;10.264706
2015;Białystok University of Technology;Computer Science;6.3333335;6.470588;5.857143;5.6571426
2016;Białystok University of Technology;Computer Science;6.575;5.3939395;8.809524;7.372093
2017;Białystok University of Technology;Computer Science;5.0;7.1363635;6.4545455;3.9384615
2018;Białystok University of Technology;Computer Science;3.4054055;3.2142856;6.9565215;3.5714285
2019;Białystok University of Technology;Computer Science;3.9583333;8.666667;4.75;3.911111
2020;Białystok University of Technology;Computer Science;2.4363637;8.69697;6.2916665;3.5
2021;Białystok University of Technology;Computer Science;2.0487804;1.548387;4.25;1.3214285
2022;Białystok University of Technology;Computer Science;0.95;1.0833334;1.2777778;0.32
2023;Białystok University of Technology;Computer Science;0.27272728;0.18181819;0.2631579;0.0
2012;Cracow University of Technology;Computer Science;5.642857;10.7;9.2;8.083333
2013;Cracow University of Technology;Computer Science;6.0;34.166668;9.724138;22.88889
2014;Cracow University of Technology;Computer Science;7.0;13.285714;9.487804;2.75
2015;Cracow University of Technology;Computer Science;6.4117646;31.346153;11.55;5.107143
2016;Cracow University of Technology;Computer Science;5.1;18.631578;10.76;3.5106382
2017;Cracow University of Technology;Computer Science;9.4;7.9615383;9.75;4.090909
2018;Cracow University of Technology;Computer Science;7.0416665;24.375;7.259259;14.6
2019;Cracow University of Technology;Computer Science;4.512195;20.83721;6.181818;1.7636364
2020;Cracow University of Technology;Computer Science;3.580645;17.31579;4.65;3.2857144
2021;Cracow University of Technology;Computer Science;3.2962964;5.9577465;3.9142857;2.5714285
2022;Cracow University of Technology;Computer Science;1.5789474;3.7692308;1.75;0.375
2023;Cracow University of Technology;Computer Science;0.18181819;0.2631579;0.375;0.6666667
2012;University of Białystok;Computer Science;5.3333335;10.0;6.2;4.5
2013;University of Białystok;Computer Science;11.0;14.5;1.875;14.142858
2014;University of Białystok;Computer Science;11.0;7.25;2.375;13.75
2015;University of Białystok;Computer Science;16.0;14.625;28.875;10.111111
2016;University of Białystok;Computer Science;4.6666665;9.0;11.555555;7.8
2017;University of Białystok;Computer Science;0.8;6.714286;0.6666667;1.3636364
2018;University of Białystok;Computer Science;3.25;6.5;16.285715;1.4
2019;University of Białystok;Computer Science;6.2;4.1875;8.785714;0.75
2020;University of Białystok;Computer Science;2.3333333;5.785714;6.8125;0.33333334
2021;University of Białystok;Computer Science;1.8235294;37.666668;4.7391305;1.2
2022;University of Białystok;Computer Science;0.75;1.8;1.875;0.6666667
2023;University of Białystok;Computer Science;0.33333334;1.0;0.2857143;0.0
2012;Warsaw University of Technology;Computer Science;5.3313255;8.907216;6.4788733;6.0176992
2013;Warsaw University of Technology;Computer Science;6.565934;22.462185;7.75;7.140187
2014;Warsaw University of Technology;Computer Science;8.30622;12.197081;6.823129;5.5283017
2015;Warsaw University of Technology;Computer Science;5.2183404;8.448052;8.622754;16.539824
2016;Warsaw University of Technology;Computer Science;4.728302;9.748387;6.8773584;4.608108
2017;Warsaw University of Technology;Computer Science;6.67;11.248756;6.3828573;4.1226416
2018;Warsaw University of Technology;Computer Science;3.4016063;7.2207794;5.3139534;4.46
2019;Warsaw University of Technology;Computer Science;4.4166665;6.0164833;5.966443;2.2692308
2020;Warsaw University of Technology;Computer Science;3.6651983;7.3923445;3.1086957;2.2436974
2021;Warsaw University of Technology;Computer Science;2.7039106;5.629032;3.2731707;2.4805195
2022;Warsaw University of Technology;Computer Science;0.83625734;2.241546;1.0114286;0.41095892
2023;Warsaw University of Technology;Computer Science;0.3;0.1;0.16981132;0.11111111
2012;Poznan University of Economics and Business;Computer Science;3.357143;2.4;4.0;8.0
2013;Poznan University of Economics and Business;Computer Science;33.357143;0.0;5.0;3.9333334
2014;Poznan University of Economics and Business;Computer Science;10.0;29.5;4.5;7.5
2015;Poznan University of Economics and Business;Computer Science;7.6923075;3.1111112;3.0;4.0
2016;Poznan University of Economics and Business;Computer Science;7.5;2.4444444;3.3333333;6.6666665
2017;Poznan University of Economics and Business;Computer Science;13.6470585;7.8461537;6.0;2.6470587
2018;Poznan University of Economics and Business;Computer Science;4.6363635;3.1666667;0.875;1.0
2019;Poznan University of Economics and Business;Computer Science;5.368421;4.25;5.0;3.25
2020;Poznan University of Economics and Business;Computer Science;3.8636363;8.133333;11.833333;3.5
2021;Poznan University of Economics and Business;Computer Science;1.7777778;5.2727275;4.75;0.8
2022;Poznan University of Economics and Business;Computer Science;0.5;1.3636364;1.6;0.6
2023;Poznan University of Economics and Business;Computer Science;0.0;0.0;0.0;0.0
2012;AGH University of Science and Technology;Decision Sciences;8.625;3.5;5.0;7.4
2013;AGH University of Science and Technology;Decision Sciences;8.5;9.75;10.5;56.11111
2014;AGH University of Science and Technology;Decision Sciences;3.5;14.5;21.333334;80.0
2015;AGH University of Science and Technology;Decision Sciences;4.6666665;5.0;43.333332;26.0
2016;AGH University of Science and Technology;Decision Sciences;3.2;14.0;5.1666665;19.2
2017;AGH University of Science and Technology;Decision Sciences;2.875;7.6;10.5;25.25
2018;AGH University of Science and Technology;Decision Sciences;2.7272727;3.1;5.2;1.58
2019;AGH University of Science and Technology;Decision Sciences;2.7;17.0;3.0;31.0
2020;AGH University of Science and Technology;Decision Sciences;4.0;16.545454;2.6666667;1.6363636
2021;AGH University of Science and Technology;Decision Sciences;2.125;6.8333335;2.235294;6.2
2022;AGH University of Science and Technology;Decision Sciences;0.36363637;2.090909;0.6923077;4.0
2023;AGH University of Science and Technology;Decision Sciences;0.2;0.4;1.0;2.0
2012;Białystok University of Technology;Decision Sciences;0.0;72.75;0.0;12.0
2013;Białystok University of Technology;Decision Sciences;13.0;27.0;0.0;37.0
2014;Białystok University of Technology;Decision Sciences;4.2;0.0;0.0;0.0
2015;Białystok University of Technology;Decision Sciences;3.875;0.0;11.0;0.0
2016;Białystok University of Technology;Decision Sciences;0.0;0.0;71.0;1.0
2017;Białystok University of Technology;Decision Sciences;11.0;0.0;0.0;13.5
2018;Białystok University of Technology;Decision Sciences;3.0;2.5;0.0;0.0
2019;Białystok University of Technology;Decision Sciences;11.0;28.666666;0.0;1.0
2020;Białystok University of Technology;Decision Sciences;0.0;10.0;14.0;6.4
2021;Białystok University of Technology;Decision Sciences;0.8;1.0;1.25;0.6666667
2022;Białystok University of Technology;Decision Sciences;0.0;0.5;1.3333334;0.33333334
2023;Białystok University of Technology;Decision Sciences;0.0;0.0;1.0;0.0
2012;Cracow University of Technology;Decision Sciences;14.5;54.0;25.0;0.0
2013;Cracow University of Technology;Decision Sciences;0.0;2.5;13.0;3.3333333
2014;Cracow University of Technology;Decision Sciences;0.0;19.5;8.125;2.0
2015;Cracow University of Technology;Decision Sciences;6.230769;31.666666;1.0;9.0
2016;Cracow University of Technology;Decision Sciences;16.333334;6.5;17.666666;1.7272727
2017;Cracow University of Technology;Decision Sciences;11.0;11.666667;20.333334;0.2857143
2018;Cracow University of Technology;Decision Sciences;0.0;5.25;1.0;0.5
2019;Cracow University of Technology;Decision Sciences;0.0;25.833334;12.666667;0.55172414
2020;Cracow University of Technology;Decision Sciences;3.6666667;24.5;3.1666667;0.0
2021;Cracow University of Technology;Decision Sciences;2.5;8.3;2.142857;2.75
2022;Cracow University of Technology;Decision Sciences;1.0;2.5;0.0;0.0
2023;Cracow University of Technology;Decision Sciences;0.0;0.5;0.0;0.0
2012;University of Białystok;Decision Sciences;None;None;None;None
2013;University of Białystok;Decision Sciences;None;None;None;None
2014;University of Białystok;Decision Sciences;0.0;0.0;6.0;0.0
2015;University of Białystok;Decision Sciences;0.0;0.0;63.0;12.5
2016;University of Białystok;Decision Sciences;0.0;0.0;44.5;14.0
2017;University of Białystok;Decision Sciences;0.0;6.25;4.0;9.0
2018;University of Białystok;Decision Sciences;0.5;12.166667;0.0;1.75
2019;University of Białystok;Decision Sciences;5.0;12.333333;4.8333335;1.0
2020;University of Białystok;Decision Sciences;6.0;14.0;19.0;1.6666666
2021;University of Białystok;Decision Sciences;0.0;0.0;0.0;0.0
2022;University of Białystok;Decision Sciences;1.5;1.0;0.0;0.0
2023;University of Białystok;Decision Sciences;0.0;1.0;0.5;0.0
2012;Warsaw University of Technology;Decision Sciences;1.75;21.166666;7.0;13.428572
2013;Warsaw University of Technology;Decision Sciences;0.5;1.8333334;18.333334;11.909091
2014;Warsaw University of Technology;Decision Sciences;3.5;26.8;7.0;8.0
2015;Warsaw University of Technology;Decision Sciences;6.714286;8.714286;3.3636363;4.4210525
2016;Warsaw University of Technology;Decision Sciences;4.1666665;14.0;11.125;7.1
2017;Warsaw University of Technology;Decision Sciences;4.0;11.125;21.0;2.6
2018;Warsaw University of Technology;Decision Sciences;6.4545455;4.0;4.8333335;5.0
2019;Warsaw University of Technology;Decision Sciences;7.4444447;5.7826085;4.6666665;4.3636365
2020;Warsaw University of Technology;Decision Sciences;4.8;4.866667;5.0;0.7916667
2021;Warsaw University of Technology;Decision Sciences;4.857143;2.6;5.75;0.6785714
2022;Warsaw University of Technology;Decision Sciences;0.45454547;1.6538461;1.6428572;0.21052632
2023;Warsaw University of Technology;Decision Sciences;0.0;0.6666667;0.71428573;0.0
2012;Poznan University of Economics and Business;Decision Sciences;1.0;3.75;0.0;1.0
2013;Poznan University of Economics and Business;Decision Sciences;12.75;0.0;2.5;2.3636363
2014;Poznan University of Economics and Business;Decision Sciences;9.0;0.0;0.0;20.5
2015;Poznan University of Economics and Business;Decision Sciences;8.6;1.75;0.0;4.111111
2016;Poznan University of Economics and Business;Decision Sciences;5.3333335;2.0;0.0;1.3333334
2017;Poznan University of Economics and Business;Decision Sciences;17.5;5.25;4.0;3.5714285
2018;Poznan University of Economics and Business;Decision Sciences;2.0;5.0;2.6666667;1.5
2019;Poznan University of Economics and Business;Decision Sciences;4.3333335;1.0;3.875;5.3125
2020;Poznan University of Economics and Business;Decision Sciences;2.4285715;2.857143;4.8;3.6
2021;Poznan University of Economics and Business;Decision Sciences;2.8333333;7.8;1.2;2.4285715
2022;Poznan University of Economics and Business;Decision Sciences;0.5;13.2;0.2;0.0
2023;Poznan University of Economics and Business;Decision Sciences;0.0;0.0;0.0;0.0
2012;AGH University of Science and Technology;Earth and Planetary Sciences;7.0136986;19.809525;10.54902;6.2777777
2013;AGH University of Science and Technology;Earth and Planetary Sciences;8.978724;17.0;12.4375;6.962963
2014;AGH University of Science and Technology;Earth and Planetary Sciences;7.082353;16.84091;12.448979;9.170213
2015;AGH University of Science and Technology;Earth and Planetary Sciences;5.244898;12.285714;9.684211;8.261905
2016;AGH University of Science and Technology;Earth and Planetary Sciences;5.1764708;20.0;6.5666666;4.5972223
2017;AGH University of Science and Technology;Earth and Planetary Sciences;3.5609756;16.02985;5.470588;3.9142857
2018;AGH University of Science and Technology;Earth and Planetary Sciences;3.492823;10.522388;6.1551723;3.3802817
2019;AGH University of Science and Technology;Earth and Planetary Sciences;3.2722514;8.910256;5.3965516;3.68
2020;AGH University of Science and Technology;Earth and Planetary Sciences;5.0537634;9.259259;4.822785;3.4594595
2021;AGH University of Science and Technology;Earth and Planetary Sciences;2.8493152;4.8207545;3.0595238;1.6296296
2022;AGH University of Science and Technology;Earth and Planetary Sciences;0.72727275;1.5942029;1.3225807;0.84615386
2023;AGH University of Science and Technology;Earth and Planetary Sciences;0.0;0.7692308;0.125;0.0
2012;Białystok University of Technology;Earth and Planetary Sciences;0.0;0.0;0.0;1.8
2013;Białystok University of Technology;Earth and Planetary Sciences;2.0;0.0;0.0;1.0
2014;Białystok University of Technology;Earth and Planetary Sciences;7.3333335;0.0;2.0;4.5
2015;Białystok University of Technology;Earth and Planetary Sciences;1.5;0.0;0.0;0.25
